topic_seq,derivation_version,l3_terms,n_terms,has_explicit_open_marker,path,appears_in_levels,n_levels
1,hsk3_topic_derivation_v1,姓名|国籍|年龄|性别|喜好|习惯,6,true,基本信息/个人信息/姓名、国籍、年龄、性别、喜好、习惯等,1,1
2,hsk3_topic_derivation_v1,身份|家庭成员|朋友|技能,4,true,基本信息/个人信息/身份、家庭成员、朋友、技能等,1,1
3,hsk3_topic_derivation_v1,日期|时间|地点|方位|参加者|号码,6,true,基本信息/事件信息/日期、时间、地点、方位、参加者、号码等,1,1
4,hsk3_topic_derivation_v1,物品名称,1,false,基本信息/物品信息/物品名称,1,1
5,hsk3_topic_derivation_v1,物品特征,1,false,基本信息/物品信息/物品特征,1,1
6,hsk3_topic_derivation_v1,天气,1,false,基本信息/环境信息/天气,1|2,2
7,hsk3_topic_derivation_v1,环境特点,1,false,基本信息/环境信息/环境特点,1,1
8,hsk3_topic_derivation_v1,基本礼貌行为,1,false,日常生活/交往/基本礼貌行为,1|2,2
9,hsk3_topic_derivation_v1,简单互动行为,1,false,日常生活/交往/简单互动行为,1|2,2
10,hsk3_topic_derivation_v1,意愿感受,1,false,日常生活/交往/意愿感受,1|2|3,3
11,hsk3_topic_derivation_v1,食物饮品,1,false,日常生活/饮食/食物饮品,1|2|3|4,4
12,hsk3_topic_derivation_v1,就餐,1,false,日常生活/饮食/就餐,1|2|3|4|5,5
13,hsk3_topic_derivation_v1,问路,1,false,日常生活/交通出行/问路,1|2,2
14,hsk3_topic_derivation_v1,出行方式,1,false,日常生活/交通出行/出行方式,1|2|3,3
15,hsk3_topic_derivation_v1,出行安排,1,false,日常生活/交通出行/出行安排,1|2|3,3
16,hsk3_topic_derivation_v1,商品名称,1,false,日常生活/购物/商品名称,1,1
17,hsk3_topic_derivation_v1,商品价格,1,false,日常生活/购物/商品价格,1,1
18,hsk3_topic_derivation_v1,商品选购,1,false,日常生活/购物/商品选购,1|2|3|4|5,5
19,hsk3_topic_derivation_v1,生病|看病|探病,3,true,日常生活/医疗健康/生病、看病、探病等,1,1
20,hsk3_topic_derivation_v1,休闲活动,1,false,日常生活/休闲/休闲活动,1|2|3|4|5,5
21,hsk3_topic_derivation_v1,课程信息,1,false,教育情况/学习情况/课程信息,1,1
22,hsk3_topic_derivation_v1,学习内容,1,false,教育情况/学习情况/学习内容,1,1
23,hsk3_topic_derivation_v1,教育层次,1,false,教育情况/学习情况/教育层次,1,1
24,hsk3_topic_derivation_v1,学校情况,1,false,教育情况/校园生活/学校情况,1|2|3|4|5|6,6
25,hsk3_topic_derivation_v1,课后活动,1,false,教育情况/校园生活/课后活动,1|2,2
26,hsk3_topic_derivation_v1,工作信息,1,false,职场生活/工作情况/工作信息,1|2,2
27,hsk3_topic_derivation_v1,工作评价,1,false,职场生活/工作情况/工作评价,1,1
28,hsk3_topic_derivation_v1,职业种类,1,false,职场生活/职业/职业种类,1,1
29,hsk3_topic_derivation_v1,中餐,1,false,文化与传统/饮食文化/中餐,1,1
30,hsk3_topic_derivation_v1,传统饮品,1,false,文化与传统/饮食文化/传统饮品,1,1
31,hsk3_topic_derivation_v1,外貌|穿着|生日,3,true,基本信息/个人信息/外貌、穿着、生日等,2,1
32,hsk3_topic_derivation_v1,身份|习惯|爱好|来处,4,true,基本信息/个人信息/身份、习惯、爱好、来处等,2,1
33,hsk3_topic_derivation_v1,事件|人物|时间|方式|地址|原因|变化|状态,8,true,基本信息/事件信息/事件、人物、时间、方式、地址、原因、变化、状态等,2,1
34,hsk3_topic_derivation_v1,名称|颜色|差别|数量|所在|特点,6,true,基本信息/物品信息/名称、颜色、差别、数量、所在、特点等,2,1
35,hsk3_topic_derivation_v1,天气,1,false,基本信息/环境信息/天气,1|2,2
36,hsk3_topic_derivation_v1,环境特征,1,false,基本信息/环境信息/环境特征,2,1
37,hsk3_topic_derivation_v1,基本礼貌行为,1,false,日常生活/交往/基本礼貌行为,1|2,2
38,hsk3_topic_derivation_v1,简单互动行为,1,false,日常生活/交往/简单互动行为,1|2,2
39,hsk3_topic_derivation_v1,意愿感受,1,false,日常生活/交往/意愿感受,1|2|3,3
40,hsk3_topic_derivation_v1,食物饮品,1,false,日常生活/饮食/食物饮品,1|2|3|4,4
41,hsk3_topic_derivation_v1,饮食习惯,1,false,日常生活/饮食/饮食习惯,2|3,2
42,hsk3_topic_derivation_v1,就餐,1,false,日常生活/饮食/就餐,1|2|3|4|5,5
43,hsk3_topic_derivation_v1,问路,1,false,日常生活/交通出行/问路,1|2,2
44,hsk3_topic_derivation_v1,出行方式,1,false,日常生活/交通出行/出行方式,1|2|3,3
45,hsk3_topic_derivation_v1,出行安排,1,false,日常生活/交通出行/出行安排,1|2|3,3
46,hsk3_topic_derivation_v1,出行感受,1,false,日常生活/交通出行/出行感受,2,1
47,hsk3_topic_derivation_v1,商品选购,1,false,日常生活/购物/商品选购,1|2|3|4|5,5
48,hsk3_topic_derivation_v1,商品描述,1,false,日常生活/购物/商品描述,2,1
49,hsk3_topic_derivation_v1,生病,1,false,日常生活/医疗健康/生病,2|3,2
50,hsk3_topic_derivation_v1,就医,1,false,日常生活/医疗健康/就医,2|3|4|5|6,5
51,hsk3_topic_derivation_v1,休闲活动,1,false,日常生活/休闲/休闲活动,1|2|3|4|5,5
