topic_seq,level_band,level_int,l1,l2,l3
1,1,1,基本信息,个人信息,姓名、国籍、年龄、性别、喜好、习惯等
2,1,1,基本信息,个人信息,身份、家庭成员、朋友、技能等
3,1,1,基本信息,事件信息,日期、时间、地点、方位、参加者、号码等
4,1,1,基本信息,物品信息,物品名称
5,1,1,基本信息,物品信息,物品特征
6,1,1,基本信息,环境信息,天气
7,1,1,基本信息,环境信息,环境特点
8,1,1,日常生活,交往,基本礼貌行为
9,1,1,日常生活,交往,简单互动行为
10,1,1,日常生活,交往,意愿感受
11,1,1,日常生活,饮食,食物饮品
12,1,1,日常生活,饮食,就餐
13,1,1,日常生活,交通出行,问路
14,1,1,日常生活,交通出行,出行方式
15,1,1,日常生活,交通出行,出行安排
16,1,1,日常生活,购物,商品名称
17,1,1,日常生活,购物,商品价格
18,1,1,日常生活,购物,商品选购
19,1,1,日常生活,医疗健康,生病、看病、探病等
20,1,1,日常生活,休闲,休闲活动
21,1,1,教育情况,学习情况,课程信息
22,1,1,教育情况,学习情况,学习内容
23,1,1,教育情况,学习情况,教育层次
24,1,1,教育情况,校园生活,学校情况
25,1,1,教育情况,校园生活,课后活动
26,1,1,职场生活,工作情况,工作信息
27,1,1,职场生活,工作情况,工作评价
28,1,1,职场生活,职业,职业种类
29,1,1,文化与传统,饮食文化,中餐
30,1,1,文化与传统,饮食文化,传统饮品
31,2,2,基本信息,个人信息,外貌、穿着、生日等
32,2,2,基本信息,个人信息,身份、习惯、爱好、来处等
33,2,2,基本信息,事件信息,事件、人物、时间、方式、地址、原因、变化、状态等
34,2,2,基本信息,物品信息,名称、颜色、差别、数量、所在、特点等
35,2,2,基本信息,环境信息,天气
36,2,2,基本信息,环境信息,环境特征
37,2,2,日常生活,交往,基本礼貌行为
38,2,2,日常生活,交往,简单互动行为
39,2,2,日常生活,交往,意愿感受
40,2,2,日常生活,饮食,食物饮品
41,2,2,日常生活,饮食,饮食习惯
42,2,2,日常生活,饮食,就餐
43,2,2,日常生活,交通出行,问路
44,2,2,日常生活,交通出行,出行方式
45,2,2,日常生活,交通出行,出行安排
46,2,2,日常生活,交通出行,出行感受
47,2,2,日常生活,购物,商品选购
48,2,2,日常生活,购物,商品描述
49,2,2,日常生活,医疗健康,生病
50,2,2,日常生活,医疗健康,就医
51,2,2,日常生活,休闲,休闲活动
52,2,2,日常生活,休闲,休闲安排
53,2,2,日常生活,家庭生活,家庭关系
54,2,2,日常生活,家庭生活,家庭活动
55,2,2,教育情况,学习情况,基本情况
56,2,2,教育情况,学习情况,学习经历
57,2,2,教育情况,校园生活,学校情况
58,2,2,教育情况,校园生活,课后活动
59,2,2,职场生活,工作情况,工作信息
60,2,2,职场生活,工作情况,工作经历、工作感受
61,2,2,职场生活,职业,职业状况
62,2,2,文化与传统,传统习俗,节日
63,2,2,文化与传统,饮食文化,中餐印象
64,2,2,文化与传统,姓氏文化,主要姓氏、正式称谓等
65,3,3,日常生活,个人情况,个人信息
66,3,3,日常生活,个人情况,个人特征
67,3,3,日常生活,日常事务,事务处理
68,3,3,日常生活,日常事务,业务办理
69,3,3,日常生活,交往,礼貌行为
70,3,3,日常生活,交往,意愿感受
71,3,3,日常生活,饮食,食物饮品
72,3,3,日常生活,饮食,饮食习惯
73,3,3,日常生活,饮食,就餐
74,3,3,日常生活,交通出行,出行方式
75,3,3,日常生活,交通出行,出行安排
76,3,3,日常生活,交通出行,出行经历
77,3,3,日常生活,交通出行,交通规则
78,3,3,日常生活,购物,商品选购
79,3,3,日常生活,购物,购物经历
80,3,3,日常生活,医疗健康,生病
81,3,3,日常生活,医疗健康,就医
82,3,3,日常生活,医疗健康,探病
83,3,3,日常生活,医疗健康,健康观念
84,3,3,日常生活,休闲,休闲活动
85,3,3,日常生活,休闲,活动体验
86,3,3,日常生活,社区,居住情况
87,3,3,日常生活,家庭生活,生活习惯
88,3,3,日常生活,家庭生活,家庭关系
89,3,3,日常生活,家庭生活,家庭事务
90,3,3,日常生活,家庭生活,居家生活
91,3,3,教育情况,学习情况,课程情况
92,3,3,教育情况,学习情况,学习活动
93,3,3,教育情况,学习情况,学习环境
94,3,3,教育情况,学习情况,学习经历
95,3,3,教育情况,校园生活,校园活动
96,3,3,教育情况,校园生活,学校情况
97,3,3,教育情况,教育问题,家庭教育
98,3,3,职场生活,日常办公,办公事务
99,3,3,职场生活,日常办公,工作表现
100,3,3,职场生活,日常办公,工作环境
101,3,3,职场生活,日常办公,同事相处
102,3,3,职场生活,职业与经历,工作经历
103,3,3,职场生活,职业与经历,职业评价
104,3,3,自然与环境,自然,气候
105,3,3,自然与环境,自然,季节
106,3,3,自然与环境,自然,动植物
107,3,3,自然与环境,自然,自然风景
108,3,3,自然与环境,环境,环境状况
109,3,3,自然与环境,环境,环境保护
110,3,3,当代社会,社会情况,现代生活
111,3,3,当代社会,社会情况,城市发展
112,3,3,当代社会,文艺,文艺活动
113,3,3,当代社会,体育,运动项目
114,3,3,当代社会,体育,体育比赛
115,3,3,文化与传统,饮食文化,特色饮食
116,3,3,文化与传统,饮食文化,餐具
117,3,3,文化与传统,风俗传统,传统节日与习俗
118,3,3,文化与传统,风俗传统,地区差异
119,4,4,日常生活,个人情况,个人信息
120,4,4,日常生活,个人情况,个人特征
121,4,4,日常生活,日常事务,业务办理
122,4,4,日常生活,日常事务,困难求助
123,4,4,日常生活,交往,礼貌行为
124,4,4,日常生活,交往,情感
125,4,4,日常生活,交往,感悟
126,4,4,日常生活,饮食,食物饮品
127,4,4,日常生活,饮食,就餐
128,4,4,日常生活,饮食,做菜
129,4,4,日常生活,交通出行,出行经历
130,4,4,日常生活,交通出行,交通
131,4,4,日常生活,购物,商品选购
132,4,4,日常生活,购物,购物体验
133,4,4,日常生活,购物,商家活动
134,4,4,日常生活,医疗健康,就医
135,4,4,日常生活,医疗健康,健康生活
136,4,4,日常生活,休闲,休闲活动
137,4,4,日常生活,休闲,活动感受、看法等
138,4,4,日常生活,社区,居住情况
139,4,4,日常生活,社区,社区生活
140,4,4,日常生活,社区,房屋租赁与买卖
141,4,4,日常生活,家庭生活,居家生活
142,4,4,日常生活,家庭生活,家庭关系
143,4,4,日常生活,家庭生活,成长过程
144,4,4,日常生活,家庭生活,生活习惯
145,4,4,日常生活,家庭生活,家庭事务
146,4,4,教育情况,学习情况,课程情况
147,4,4,教育情况,学习情况,教学情况
148,4,4,教育情况,学习情况,学习经历
149,4,4,教育情况,学习情况,学习心得
150,4,4,教育情况,校园生活,校园活动
151,4,4,教育情况,校园生活,学校情况
152,4,4,教育情况,教育问题,家庭教育
153,4,4,教育情况,教育问题,社会教育
154,4,4,职场生活,日常办公,办公事务
155,4,4,职场生活,日常办公,工作表现
156,4,4,职场生活,日常办公,职场交往
157,4,4,职场生活,职业与经历,工作经历
158,4,4,职场生活,职业与经历,职业现状、职业评价
159,4,4,职场生活,单位情况,人事管理
160,4,4,职场生活,单位情况,工作环境与待遇
161,4,4,自然与环境,自然,地理
162,4,4,自然与环境,自然,气候
163,4,4,自然与环境,自然,动植物
164,4,4,自然与环境,自然,自然景观
165,4,4,自然与环境,自然,自然现象
166,4,4,自然与环境,环境,环境状况
167,4,4,自然与环境,环境,环境保护
168,4,4,科学技术,科技发展,新技术运用
169,4,4,科学技术,科学知识,科普知识
170,4,4,科学技术,科学知识,科研成果
171,4,4,当代社会,概况,首都、主要省市
172,4,4,当代社会,概况,少数民族
173,4,4,当代社会,经济现象,流行产品
174,4,4,当代社会,经济现象,新商业形态
175,4,4,当代社会,经济现象,经济状况
176,4,4,当代社会,社会现象,生活观念
177,4,4,当代社会,社会现象,网络生活
178,4,4,当代社会,社会现象,基础设施
179,4,4,当代社会,社会现象,流行事物
180,4,4,当代社会,文艺,文艺形式
181,4,4,当代社会,文艺,文艺活动
182,4,4,当代社会,文艺,创作者及其作品
183,4,4,当代社会,体育,运动项目
184,4,4,当代社会,体育,体育比赛
185,4,4,当代社会,体育,体育名人、体育故事
186,4,4,当代社会,中外交流,友好往来
187,4,4,文化与传统,语言文字,俗语、名言等
188,4,4,文化与传统,饮食文化,传统饮食观念
189,4,4,文化与传统,饮食文化,各地饮食、传统店铺、品牌等
190,4,4,文化与传统,民俗传统,传统节日与习俗
191,4,4,文化与传统,民俗传统,国粹
192,4,4,文化与传统,民俗传统,各地传统
193,4,4,文化与传统,民俗传统,人际交往礼仪
194,4,4,文化与传统,人文景观,名胜古迹等
195,4,4,文化与传统,历史,历史人物、历史事件
196,5,5,日常生活,日常事务,业务办理
197,5,5,日常生活,日常事务,困难求助
198,5,5,日常生活,饮食,就餐
199,5,5,日常生活,饮食,餐饮体验
200,5,5,日常生活,交通出行,交通运输
201,5,5,日常生活,交通出行,出行体验
202,5,5,日常生活,购物,商品选购
203,5,5,日常生活,购物,消费活动
204,5,5,日常生活,医疗健康,就医
205,5,5,日常生活,医疗健康,心理健康
206,5,5,日常生活,医疗健康,健康生活
207,5,5,日常生活,休闲,休闲活动
208,5,5,日常生活,休闲,活动感受、生活随感、人生感悟等
209,5,5,日常生活,社区,居住情况
210,5,5,日常生活,社区,社区管理
211,5,5,日常生活,社区,社区生活
212,5,5,日常生活,家庭生活,居家生活
213,5,5,日常生活,家庭生活,家庭活动
214,5,5,日常生活,家庭生活,家庭问题
215,5,5,教育情况,学习情况,课程情况
216,5,5,教育情况,学习情况,教学情况
217,5,5,教育情况,学习情况,学习经历
218,5,5,教育情况,学习情况,学习心得
219,5,5,教育情况,校园生活,校园活动
220,5,5,教育情况,校园生活,学校情况
221,5,5,教育情况,教育问题,家庭教育
222,5,5,教育情况,教育问题,学校教育、社会教育、职业教育等
223,5,5,职场生活,职业与经历,工作内容
224,5,5,职场生活,职业与经历,工作经历
225,5,5,职场生活,经营与管理,团队合作
226,5,5,职场生活,经营与管理,人员管理
227,5,5,职场生活,经营与管理,企业发展
228,5,5,自然与环境,自然,自然资源
229,5,5,自然与环境,自然,地形地貌
230,5,5,自然与环境,自然,自然现象、自然规律
231,5,5,自然与环境,自然,动植物
232,5,5,自然与环境,环境,生态平衡
233,5,5,自然与环境,环境,城市与乡村
234,5,5,自然与环境,环境,环境保护
235,5,5,科学技术,科技发展,产品介绍与应用
236,5,5,科学技术,科学知识,科普知识
237,5,5,科学技术,科学知识,科研成果
238,5,5,当代社会,概况,行政区划
239,5,5,当代社会,概况,人口情况
240,5,5,当代社会,概况,时代特征
241,5,5,当代社会,经济现象,进出口贸易
242,5,5,当代社会,经济现象,商业活动
243,5,5,当代社会,经济现象,经济发展
244,5,5,当代社会,社会现象,民生发展
245,5,5,当代社会,社会现象,新兴事物
246,5,5,当代社会,社会现象,社会观念
247,5,5,当代社会,社会现象,基础设施
248,5,5,当代社会,文艺,文艺形式
249,5,5,当代社会,文艺,文艺常识
250,5,5,当代社会,文艺,创作者及其作品
251,5,5,当代社会,文艺,文艺活动
252,5,5,当代社会,体育,运动项目
253,5,5,当代社会,体育,体育赛事
254,5,5,当代社会,体育,体育名人、体育故事
255,5,5,当代社会,中外交流,交往故事、友好访问、国际合作等
256,5,5,文化与传统,语言文字,俗语、成语、名言名句等
257,5,5,文化与传统,语言文字,语言现象
258,5,5,文化与传统,民俗传统,地方饮食及差异等
259,5,5,文化与传统,民俗传统,传统节日与习俗
260,5,5,文化与传统,民俗传统,民间传说
261,5,5,文化与传统,民俗传统,古代生活
262,5,5,文化与传统,人文景观,名胜古迹、传统民居、建筑等
263,5,5,文化与传统,传统思想与艺术,哲学思想
264,5,5,文化与传统,传统思想与艺术,传统艺术
