topic_seq,mapping_version,axis_code,scope_code,app_domain_code,has_state_administration_frame,coding_status,selection_status,exclusion_reason_code,coded_by,coded_at,notes
1,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
2,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
3,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
4,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
5,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
6,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
7,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
8,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
9,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
10,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
11,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
12,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
13,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
14,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
15,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
16,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
17,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
18,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
19,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
20,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
21,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
22,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
23,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
24,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
25,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
26,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
27,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
28,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
29,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
30,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
31,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
32,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
33,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
34,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
35,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
36,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
37,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
38,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
39,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
40,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
41,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
42,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
43,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
44,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
45,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
46,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
47,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
48,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
49,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
50,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
51,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
52,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
53,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
54,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
55,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
56,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
57,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
58,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
59,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
