seq,headword,pinyin,sense_no,source_form,pinyin_norm,pos,intro_level,intro_band,extra_levels,is_multi_sense,is_polyphone,is_phrase,source_note
1,爱,ài,1,爱,ai,动,1,1,{},false,false,false,
2,八,bā,1,八,ba,数,1,1,{},false,false,false,
3,爸爸,bàba,1,爸爸,baba,名,1,1,{},false,false,false,
4,吧,ba,1,吧,ba,助,1,1,{},false,false,false,
5,白天,báitiān,1,白天,baitian,名,1,1,{},false,false,false,
6,百,bǎi,1,百,bai,数,1,1,{},false,false,false,
7,半,bàn,1,半,ban,数、（副）,1,1,{4},false,false,false,
8,包子,bāozi,1,包子,baozi,名,1,1,{},false,false,false,
9,杯子,bēizi,1,杯子,beizi,名,1,1,{},false,false,false,
10,本,běn,1,本1,ben,量,1,1,{},true,false,false,
11,边,biān,1,边,bian,名、后缀,1,1,{},false,false,false,
12,病,bìng,1,病,bing,名、动,1,1,{},false,false,false,
13,不,bù,1,不,bu,副,1,1,{},false,false,false,
14,不客气,bú kèqi,1,不客气,bukeqi,,1,1,{},false,false,true,
15,不要,búyào,1,不要,buyao,副,1,1,{},false,false,false,
16,菜,cài,1,菜,cai,名,1,1,{},false,false,false,
17,茶,chá,1,茶,cha,名,1,1,{},false,false,false,
18,唱,chàng,1,唱,chang,动,1,1,{},false,false,false,
19,超市,chāoshì,1,超市,chaoshi,名,1,1,{},false,false,false,
20,车,chē,1,车,che,名,1,1,{},false,false,false,
21,吃,chī,1,吃,chi,动,1,1,{},false,false,false,
22,出租车,chūzūchē,1,出租车,chuzuche,名,1,1,{},false,false,false,
23,穿,chuān,1,穿,chuan,动,1,1,{},false,false,false,
24,打电话,dǎ diànhuà,1,打电话,dadianhua,,1,1,{},false,false,true,
25,大,dà,1,大,da,形,1,1,{},false,false,false,
26,大家,dàjiā,1,大家,dajia,代,1,1,{},false,false,false,
27,大学,dàxué,1,大学,daxue,名,1,1,{},false,false,false,
28,大学生,dàxuéshēng,1,大学生,daxuesheng,名,1,1,{},false,false,false,
29,到,dào,1,到,dao,动,1,1,{},false,false,false,
30,的,de,1,的,de,助,1,1,{},false,false,false,
31,第,dì,1,第,di,前缀,1,1,{},false,false,false,
32,弟弟,dìdi,1,弟弟,didi,名,1,1,{},false,false,false,
33,点,diǎn,1,点1,dian,量、（名）,1,1,{3},true,false,false,
34,店,diàn,1,店,dian,名,1,1,{},false,false,false,
35,电话,diànhuà,1,电话,dianhua,名,1,1,{},false,false,false,
36,电脑,diànnǎo,1,电脑,diannao,名,1,1,{},false,false,false,
37,电视,diànshì,1,电视,dianshi,名,1,1,{},false,false,false,
38,电影,diànyǐng,1,电影,dianying,名,1,1,{},false,false,false,
39,电影院,diànyǐngyuàn,1,电影院,dianyingyuan,名,1,1,{},false,false,false,
40,东西,dōngxi,1,东西,dongxi,名,1,1,{},false,false,false,
41,都,dōu,1,都,dou,副,1,1,{},false,false,false,
42,读,dú,1,读,du,动,1,1,{},false,false,false,
43,读书,dúshū,1,读书,dushu,动,1,1,{},false,false,false,
44,对,duì,1,对,dui,形、介、（动、量）,1,1,{4},false,false,false,
45,对不起,duìbuqǐ,1,对不起,duibuqi,动,1,1,{},false,false,false,
46,多,duō,1,多,duo,形、动、代、（数、副）,1,1,{2},false,false,false,
47,多少,duōshao,1,多少,duoshao,代,1,1,{},false,false,false,
48,儿子,érzi,1,儿子,erzi,名,1,1,{},false,false,false,
49,二,èr,1,二,er,数,1,1,{},false,false,false,
